"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"1" "tf2" "Solyc00g005050.2.1" 9.52573525929202 1.29697848692351 3.96377910765391 11.0248309687251 9.45763038364352 6.84258864232877 0.668230625438969 -1.52498426925402 -0.814200489351512 1.06778539773936 0.650078596912003 -0.0469098614848016 0.226511892472304 -1.62836739549609 0.386661885097146 1.57840473774624 1.0599396062084 1.48492329543615e-15 11 0.072268688464696
"2" "tf2" "Solyc00g005070.1.1" 16.1747739263126 14.2025961928541 158.811325852359 4.47981874606273 11.5423469510571 3.10766739538249 -0.303938017890561 -0.336260498776126 2.03376570170657 -0.495609366196615 -0.379859944105039 -0.51809787473823 -1.64671674289052 -0.096372242852447 -0.879127511056154 -1.396628261082 0.84510227178856 -1.66533453693773e-15 1 0.00160360978056317
"3" "tf2" "Solyc00g005080.1.1" 11.7960480844545 7.78756919846041 15.4823295556157 8.51852745978849 11.4638716206945 7.04133586105731 0.455371267174585 -0.805429066393893 1.61482976518654 -0.575518308243916 0.350890687826755 -1.04014434555007 -2.27673294163912 -0.743877041859811 -0.100031504680944 -0.497659695977497 0.948430793203047 -2.88657986402541e-15 1 0.0368013052460922
"4" "tf2" "Solyc00g005840.2.1" 13.5849171355865 44.2405788217503 7.50785743010054 19.32767921803 10.4522998884422 29.7087760263492 -0.51913216209007 1.68544634411098 -0.956159271299774 -0.106145811223094 -0.744411939832595 0.640402840334549 1.07962062807432 1.7191490679476 0.220460121643942 -0.268642071024113 -1.09260029267029 1.11022302462516e-16 23 0.00997957981280235
"5" "tf2" "Solyc00g005870.1.1" 6.11047178911882 0.529139521994693 37.6123822051538 1.4560895723767 2.34432617526463 1.56409942215704 -0.148834675158649 -0.533603747563983 2.02286202191315 -0.469701135430959 -0.408467373057992 -0.462255090701565 -1.69061824989196 -0.23661604087826 -1.02346866352287 -1.20198447572231 0.895965672776718 -1.49880108324396e-15 1 0.00730149142774327
"6" "tf2" "Solyc00g005880.1.1" 1.83994273297518 1.12358110517276 61.6388001374373 2.03581244046073 5.71122618833261 1.78741775359458 -0.43457521218634 -0.464178432130356 2.0365771491925 -0.426481012544669 -0.274596716484188 -0.436745775846943 -1.52945841665507 -0.320738878352192 -0.867918277471456 -1.46463470616916 0.881891576613334 -1.33226762955019e-15 1 0.010737197038408
"7" "tf2" "Solyc00g006470.1.1" 465.981188181834 290.629944370734 91.6482964794338 289.66091581708 250.563212813792 118.95111430773 1.58213828896391 0.290216734616347 -1.17580468754875 0.283077299229208 -0.00497976918737557 -0.974647866073338 -0.695651257765328 0.780274052627073 1.04920605533661 1.93074560087143 0.338132535457234 -1.77635683940025e-15 33 0.0153253442636626
"8" "tf2" "Solyc00g006670.2.1" 5.33851128897235 3.90579069096168 1.01005639443944 4.79133006593083 5.39388811188598 0.316425084848019 0.838314329144551 0.199167633243112 -1.09263972291586 0.594212952189481 0.863018317796567 -1.40207350945785 -0.538277526788703 0.100261978383193 2.0476167916786 1.27727630664386 0.755528966343345 -3.21964677141295e-15 33 0.0131608578543321
"9" "tf2" "Solyc00g006680.1.1" 505.459597856094 401.809263909545 97.0791702840498 320.869359517107 523.314577675243 108.547991492003 0.953933220408937 0.402417630061832 -1.21902815870969 -0.0282574816715626 1.04893821808383 -1.15800342817335 -0.780854559584613 0.0737792102987031 2.13173459638637 1.25747949300982 -0.0204009959994664 -3.66373598126302e-15 33 0.027979952660235
"10" "tf2" "Solyc00g006690.2.1" 34.9977598562337 21.0206762384574 13.9671028032968 21.7155147027529 19.8464743447428 6.33409714277555 1.61570423031028 0.14458870136853 -0.59781376961609 0.217721815749495 0.0210016436393024 -1.40120262145152 -1.28420702746038 0.727372146570166 1.01091766892523 1.64203780827473 0.76313551402529 -2.77555756156289e-15 33 0.0185061839078053
